iter	Passed	Remaining
602	19540	12864
603	19569	12830
604	19599	12796
605	19640	12769
606	19670	12735
607	19702	12703
608	19731	12668
609	19765	12636
610	19795	12603
611	19827	12570
612	19864	12540
613	19897	12508
614	19931	12477
615	19960	12443
616	19993	12410
617	20023	12377
618	20054	12343
619	20087	12311
620	20119	12278
621	20145	12242
622	20180	12211
623	20211	12178
624	20243	12146
625	20276	12113
626	20307	12080
627	20340	12048
628	20367	12013
629	20401	11982
630	20433	11949
631	20465	11916
632	20499	11884
633	20526	11849
634	20554	11814
635	20584	11781
636	20616	11748
637	20645	11714
638	20672	11679
639	20703	11645
640	20731	11611
641	20760	11576
642	20796	11546
643	20830	11514
644	20858	11480
645	20892	11448
646	20925	11416
647	20957	11384
648	20988	11351
649	21015	11316
650	21044	11281
651	21072	11247
652	21099	11211
653	21130	11179
654	21155	11143
655	21185	11109
656	21218	11077
657	21253	11046
658	21282	11012
659	21313	10979
660	21351	10950
661	21382	10917
662	21412	10884
663	21444	10851
664	21472	10816
665	21500	10782
666	21528	10748
667	21560	10715
668	21588	10681
669	21618	10647
670	21647	10614
671	21678	10581
672	21711	10549
673	21741	10515
674	21771	10482
675	21802	10449
676	21836	10418
677	21866	10384
678	21894	10350
679	21923	10316
680	21956	10285
681	21984	10250
682	22015	10218
683	22043	10183
684	22073	10150
685	22108	10119
686	22137	10085
687	22168	10053
688	22200	10021
689	22231	9988
690	22266	9956
691	22292	9922
692	22323	9889
693	22351	9855
694	22381	9821
695	22409	9788
696	22436	9753
697	22462	9718
698	22490	9684
699	22522	9652
700	22560	9622
701	22596	9592
702	22628	9559
703	22653	9524
704	22684	9492
705	22718	9460
706	22750	9428
707	22782	9396
708	22815	9364
709	22846	9331
710	22877	9299
711	22909	9266
712	22942	9235
713	22978	9204
714	23007	9170
715	23040	9139
716	23071	9106
717	23102	9073
718	23133	9041
719	23160	9006
720	23186	8972
721	23212	8937
722	23243	8905
723	23270	8871
724	23297	8837
725	23327	8804
726	23358	8771
727	23388	8738
728	23419	8705
729	23450	8673
730	23481	8641
731	23513	8608
732	23543	8575
733	23572	8542
734	23607	8511
735	23639	8479
736	23672	8447
737	23702	8414
738	23732	8381
739	23767	8350
740	23797	8318
741	23829	8285
742	23860	8253
743	23892	8221
744	23923	8188
745	23950	8154
746	23976	8120
747	24006	8087
748	24034	8054
749	24068	8022
750	24101	7991
751	24135	7959
752	24166	7927
753	24198	7895
754	24233	7863
755	24265	7831
756	24298	7800
757	24329	7767
758	24359	7734
759	24388	7701
760	24421	7669
761	24456	7638
762	24489	7606
763	24520	7574
764	24549	7541
765	24577	7507
766	24610	7476
767	24643	7444
768	24674	7411
769	24708	7380
770	24744	7349
771	24782	7319
772	24813	7286
773	24839	7252
774	24874	7221
775	24906	7189
776	24937	7157
777	24965	7123
778	24994	7090
779	25025	7058
780	25057	7026
781	25090	6994
782	25123	6962
783	25152	6929
784	25189	6898
785	25225	6867
786	25253	6834
787	25285	6802
788	25316	6770
789	25349	6738
790	25381	6706
791	25419	6675
792	25450	6643
793	25483	6611
794	25516	6579
795	25542	6546
796	25569	6512
797	25607	6482
798	25636	6449
799	25667	6416
800	25696	6383
801	25727	6351
802	25758	6319
803	25792	6287
804	25824	6255
805	25855	6223
806	25890	6191
807	25925	6160
808	25954	6127
809	25987	6095
810	26019	6063
811	26054	6032
812	26086	6000
813	26121	5968
814	26156	5937
815	26190	5905
816	26219	5872
817	26248	5840
818	26283	5808
819	26311	5775
820	26338	5742
821	26370	5710
822	26400	5677
823	26432	5645
824	26465	5613
825	26496	5581
826	26524	5548
827	26554	5516
828	26585	5483
829	26615	5451
830	26648	5419
831	26680	5387
832	26717	5356
833	26748	5324
834	26781	5292
835	26811	5259
836	26843	5227
837	26872	5194
838	26902	5162
839	26930	5129
840	26961	5097
841	26990	5064
842	27019	5032
843	27048	4999
844	27080	4967
845	27114	4935
846	27145	4903
847	27178	4871
848	27210	4839
849	27242	4807
850	27272	4775
851	27301	4742
852	27331	4710
853	27362	4677
854	27396	4646
855	27427	4613
856	27457	4581
857	27491	4549
858	27521	4517
859	27549	4484
860	27584	4453
861	27615	4421
862	27644	4388
863	27677	4356
864	27709	4324
865	27743	4292
866	27773	4260
867	27803	4228
868	27835	4196
869	27871	4164
870	27903	4132
871	27933	4100
872	27963	4067
873	27997	4036
874	28026	4003
875	28060	3972
876	28093	3940
877	28127	3908
878	28160	3876
879	28197	3845
880	28231	3813
881	28262	3781
882	28299	3749
883	28335	3718
884	28375	3687
885	28408	3655
886	28447	3624
887	28487	3593
888	28526	3561
889	28560	3529
890	28593	3497
891	28626	3465
892	28661	3434
893	28694	3402
894	28726	3370
895	28760	3338
896	28794	3306
897	28828	3274
898	28864	3242
899	28896	3210
900	28942	3180
901	28975	3148
902	29007	3116
903	29047	3084
904	29078	3052
905	29110	3020
906	29142	2988
907	29173	2955
908	29207	2923
909	29238	2891
910	29271	2859
911	29304	2827
912	29340	2795
913	29369	2763
914	29402	2731
915	29436	2699
916	29466	2667
917	29499	2634
918	29529	2602
919	29555	2570
920	29584	2537
921	29615	2505
922	29643	2472
923	29672	2440
924	29703	2408
925	29735	2376
926	29772	2344
927	29807	2312
928	29838	2280
929	29869	2248
930	29902	2216
931	29936	2184
932	29970	2152
933	30005	2120
934	30037	2088
935	30066	2055
936	30094	2023
937	30123	1991
938	30155	1959
939	30189	1926
940	30220	1894
941	30253	1862
942	30288	1830
943	30320	1798
944	30350	1766
945	30381	1734
946	30412	1702
947	30440	1669
948	30473	1637
949	30505	1605
950	30533	1573
951	30568	1541
952	30602	1509
953	30635	1477
954	30672	1445
955	30707	1413
